TRE,WECC,EIC
0.924,4.2248,12.9203
0.81,4.1478,9.8308
0.5568,3.6511,6.443
0.2544,2.7211,2.1574
0.0312,1.5802,0.0936
0,0.4493,0.0002
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0042
0,0,2.0326
0.0168,0.0004,5.7639
0.0936,0.1869,8.9723
0.1884,1.0367,10.8765
0.2136,2.2521,11.6857
0.2052,3.0504,11.8799
0.1776,3.2705,11.1866
0.1968,3.6243,8.8533
0.2484,3.9071,5.9718
0.24,3.604,2.9746
0.1452,2.8998,0.6618
0.0276,1.6849,0.0689
0,0.495,0.0004
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0318
0,0,0.7621
0.1716,0.0036,2.8881
0.414,0.3714,5.9227
0.654,1.6458,9.1044
0.8304,2.9965,11.5109
0.918,3.9941,12.5172
0.9276,4.5313,12.1542
0.8796,4.6461,10.9872
0.7704,4.4282,8.4863
0.588,3.7482,4.7875
0.3312,2.768,1.5839
0.0552,1.6721,0.1188
0,0.4718,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0001
0,0,1.0515
0.0396,0.0008,3.3798
0.1728,0.4503,6.088
0.3012,1.542,8.1852
0.3264,2.6361,9.7452
0.3024,3.3893,10.4137
0.2688,3.852,10.4653
0.2748,3.6328,8.7817
0.2136,3.3624,6.629
0.1536,3.2012,3.4978
0.0744,2.8403,0.8744
0.0072,1.8375,0.1005
0,0.5429,0.0032
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0023
0,0,0.5591
0.0336,0.0019,2.1432
0.09,0.4998,4.9896
0.1572,2.0674,7.3883
0.2436,3.4322,8.8587
0.3732,4.3134,9.9419
0.4032,4.7278,9.3238
0.3588,4.8198,7.669
0.2868,4.6278,5.9698
0.186,4.0709,3.8195
7.80E-02,3.155,1.5312
0.0072,1.8902,0.135
0,0.582,0.0015
0,0.0024,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.6796
0.0204,0.0028,3.4416
0.0888,0.5417,7.7195
0.1812,2.1061,11.3985
0.288,3.3868,13.7617
0.3744,4.3426,14.6851
0.3264,4.9051,14.1714
0.2796,5.0887,12.3959
0.2184,4.8545,8.841
0.1464,4.0623,4.6433
0.0732,3.0075,1.3101
0.0132,1.8837,0.1159
0,0.6161,0.0045
0,0.0024,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0165
0,0,1.8335
0.0168,0.0042,5.5044
0.096,0.5821,9.3823
0.1956,2.0963,12.1542
0.2508,3.4381,13.8272
0.3096,4.3727,14.1824
0.4008,4.859,13.5066
0.4668,4.9768,12.0054
0.4296,4.7749,8.7541
0.2724,4.1138,4.6937
0.1176,2.7738,1.5748
0.0144,1.2805,0.1734
0,0.2759,0.0037
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0157
0,0,1.1689
0.0888,0.002,4.7797
0.3528,0.2254,8.4504
0.6996,1.1637,11.2568
0.8736,2.0253,12.7854
0.9612,2.6839,13.1511
0.9792,3.3288,12.5768
0.93,3.6328,11.8867
0.8148,3.4549,9.3787
0.6216,3.0436,5.4012
3.53E-01,2.5881,2.0382
0.0672,1.6513,0.1882
0,0.5844,0.0019
0,0.005,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0151
0.0012,0,1.3309
0.132,0.0033,5.0743
0.4032,0.3003,9.3221
0.5928,1.0719,12.4396
0.7476,2.3424,14.4478
0.804,3.7661,14.9094
0.7524,4.1481,14.1715
0.6228,4.0378,12.498
0.4524,3.7043,9.5929
0.204,2.9201,5.3034
0.1032,2.2245,1.2702
0.018,1.5487,0.1157
0,0.557,0.0071
0,0.0074,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0261
0,0,1.5096
0.114,0.0053,4.4709
0.4116,0.5439,7.8391
0.6612,1.9517,10.6602
0.8208,3.1822,11.8663
0.9144,4.1017,11.3421
0.9288,4.688,10.1816
0.8832,4.7579,9.2457
0.7728,4.3455,7.3857
0.594,4.053,4.5622
0.3456,3.1502,1.8593
0.0744,1.8502,0.2478
0,0.6447,0.0071
0,0.0099,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0091
0,0,1.3519
0.1188,0.0078,4.176
0.2724,0.5565,7.3932
0.4596,1.947,10.0686
0.6252,3.3324,11.8129
0.7896,4.3304,12.4599
0.8508,4.8911,12.2558
0.8196,5.1963,10.7366
0.7512,5.0691,8.2198
0.5904,4.5284,5.0029
0.3504,3.523,1.6447
0.078,2.1996,0.2111
0,0.7186,0.0081
0,0.013,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0014
0,0,1.224
0.1116,0.0055,4.3813
0.3216,0.4856,8.2109
0.5052,1.7968,11.2236
0.6456,2.8463,12.9748
0.6972,3.6066,13.1537
0.696,4.284,12.1122
0.5952,4.6935,10.342
0.4176,4.4789,7.2953
0.1632,3.8177,3.7779
0.0624,2.9166,1.2503
0.0108,1.8578,0.1577
0,0.6148,0.0059
0,0.0116,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0036
0,0,0.6941
0.0324,0.0147,2.7062
0.1284,0.7568,5.548
0.3036,2.3407,7.9674
0.5208,3.7649,9.4866
0.6204,4.7447,9.9888
0.5736,5.2636,9.0782
0.4752,5.4119,7.7686
0.3912,5.1299,6.1108
0.282,4.5438,4.0317
0.15,3.6072,1.7
0.0312,2.274,0.2372
0,0.7402,0.0106
0,0.0149,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0422
0,0,1.7875
0.042,0.0152,5.7191
0.1524,0.7041,10.0333
0.2676,2.0895,12.8816
0.366,3.3337,14.4817
0.4032,4.2823,14.7445
0.3192,4.9078,13.6888
0.2172,5.137,12.1281
0.2136,5.0789,9.3866
0.2004,4.5804,5.7103
0.132,3.6708,2.2129
0.0348,2.3758,0.3049
0,0.851,0.0097
0,0.0253,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
